Iteration,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
0.0,0.9017552101306713,0.8825147569148712,1.13339127481563,1.1113760205014056
1.0,0.641466171915198,0.7066832165025775,0.8128436499546046,0.9025087795598827
2.0,0.6378953519926507,0.6939782508308546,0.8055963305638465,0.8868273474888629
3.0,0.6517974909630444,0.6865512923362223,0.8187553610179829,0.8635302198816909
4.0,0.6737462983837883,0.7340840694383929,0.8483991459702933,0.9136558513063753
5.0,0.6933166031022684,0.7265652394618988,0.87584514278258,0.9220840911108797
6.0,0.7114464664998932,0.7556955975246602,0.8979484821872697,0.9548211091531541
7.0,0.7229773115529938,0.7534801092849532,0.9101894199865679,0.9444110515017242
8.0,0.7208923425024284,0.7699951897247082,0.9116885623864261,0.970698330651435
9.0,0.7279619551198432,0.760319717406746,0.9189792184002147,0.9626188189823409
10.0,0.7309510089483784,0.7678807545369912,0.9242704168607777,0.9698998127789908
11.0,0.7338346446990842,0.7755255864225872,0.928051463353586,0.9715568112061914
12.0,0.7364260613183171,0.7651021498264386,0.9311256094792222,0.9630968489927811
13.0,0.7385351509259722,0.7609519055866293,0.9348420156914262,0.9626709863769733
14.0,0.7354548606727938,0.7619501176166459,0.9299097513052905,0.9581080597847782
15.0,0.7291969614548547,0.7604556887358549,0.9284562831425882,0.9581042007662207
16.0,0.7363328063931245,0.7686722926543507,0.9320927746417671,0.9607857107352714
17.0,0.7399780469575998,0.7705100957971998,0.9383318395894827,0.9654911121784405
18.0,0.7467436466049275,0.7571618552814059,0.9406510434430538,0.9579664420368765
19.0,0.7397783485204587,0.7603847002748616,0.9398809746040053,0.958840337582976
