Iteration,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
0.0,0.8321896137997564,0.8271833122704857,1.0360303808531366,1.039763111446003
1.0,0.8075285368319303,0.8184250773023247,1.0162976818909866,1.0230930273180219
2.0,0.7842437215367877,0.7946821076177063,0.9945745504142192,0.9973127514959659
3.0,0.7687091881043621,0.7782580875053204,0.9743872560212576,0.979699537768318
4.0,0.7574596622307418,0.7729692474652302,0.9608814515522688,0.9704294160462332
5.0,0.7484249134222469,0.7676765911004295,0.9542005964958068,0.9623221756986647
6.0,0.7537022631868067,0.7623728780833154,0.9544026780353196,0.9587011473292274
7.0,0.748771138781284,0.7687534253371455,0.9505936500790113,0.9686660345419776
8.0,0.7501340535161864,0.7645012787622857,0.949438660051584,0.9646803635253373
9.0,0.75291423156715,0.7609558416725636,0.9572707187193225,0.9611100531368743
10.0,0.7471868823033716,0.7618261818553187,0.9487955076748569,0.9635361613507682
11.0,0.7485062708933633,0.7738856140486127,0.9506517808486352,0.9799932459336728
12.0,0.7447161055887144,0.767118075599849,0.9464649368009375,0.9695396072990408
13.0,0.7526169987058383,0.7577644066739522,0.9551679597591891,0.9553083163680652
14.0,0.7531057010636,0.759133697979973,0.9592312580483118,0.9547675607479695
15.0,0.7584552163067382,0.7693603845153829,0.9611859111736526,0.9733657135868145
16.0,0.7532004933822415,0.7755301594153062,0.9596764881598121,0.9750738660528065
17.0,0.7552211055126036,0.7693455080232198,0.9583477204907617,0.9672147137246941
18.0,0.7514844425915618,0.7572512089710345,0.9562105114763907,0.9602724941855814
19.0,0.7563494608868098,0.7558235957991504,0.9595307284279722,0.9595246554081437
