Iteration,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
0.0,0.838086480347157,0.8445001947375056,1.0451081457486067,1.0461772092141597
1.0,0.8189232357566277,0.8195587558243614,1.0252329520641712,1.0218756417240196
2.0,0.8003869709218063,0.812540045218387,1.0086525781003828,1.0208756309003302
3.0,0.7858246836886699,0.8006348123238263,0.9927927710073702,1.0025600817629263
4.0,0.7713370610273107,0.7834249825515669,0.9802259173822897,0.9888010634949292
5.0,0.7521449292902314,0.7805340890374396,0.9556897871477992,0.9825132347858804
6.0,0.7528025549864702,0.7698208794005239,0.9533685230453329,0.9687629876984784
7.0,0.7466201842279595,0.7599328696706231,0.9491309309746063,0.9605998461804932
8.0,0.7505728287191845,0.77702575555226,0.9492041960530633,0.976271980257444
9.0,0.7460393460810244,0.774288603131377,0.9459232256282689,0.9767211700845896
10.0,0.743915922482565,0.7795847073359539,0.9438719209856479,0.9792062246177652
11.0,0.7415301090081454,0.7582285545885882,0.9442333901688913,0.9589216946319891
12.0,0.7450026827795824,0.7769459558904903,0.9423039995342412,0.9820085368502542
13.0,0.7375278606838881,0.7841443690527119,0.9383032268972672,0.9882362304232892
14.0,0.7466587909074139,0.7759592505695475,0.9489310970707389,0.9795465758373031
15.0,0.7429869051235435,0.7839192417188978,0.9423569024427362,0.9849480108479707
16.0,0.7528305474154475,0.7784281120592641,0.9539421350884358,0.9773813524627168
17.0,0.7416202491948827,0.7723007912451028,0.9424355188287366,0.9748367206368677
18.0,0.7454082742005749,0.7593450285653524,0.9474188808461043,0.9610579202207518
19.0,0.7336222573465493,0.7709945149889933,0.9319138775215104,0.9775661763834163
