Iteration,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
0.0,6.024895135193596,6.088543984381271,6.12974036462009,6.191820998620854
1.0,5.215750284507625,5.404568837267875,5.382586862220865,5.574527344379973
2.0,2.9494888193379074,3.506864656030626,3.3437304191337653,4.021284131847576
3.0,1.1048680255487275,1.8047693509441942,1.3938651584130786,2.4657917150550075
4.0,0.7807708831838652,1.1546416067545904,0.9951442222131348,1.5512229125775294
5.0,0.7486681695333153,0.9849900750964662,0.9491325528628016,1.2704421065210136
6.0,0.7211619353025853,0.9216205070879474,0.9191448434851246,1.178029854595756
7.0,0.7274969993085596,0.9137362765439436,0.9240219244152014,1.1708483134135463
8.0,0.7316778561709966,0.8915344189723551,0.9292122225030427,1.1349660186670663
9.0,0.7411548010350592,0.8863098391033912,0.9395802422084588,1.1237531799590887
10.0,0.7391537314473566,0.8594251087150652,0.9365537991017475,1.095621815231473
11.0,0.7381469148644214,0.8653602077925977,0.9346276846139665,1.0976122325090827
12.0,0.739751318444711,0.8898806279951795,0.9387825612218322,1.116730228161241
13.0,0.7412229292900732,0.8845303058205791,0.9342568280494526,1.1084874933520275
14.0,0.7445805880848202,0.8798311327029517,0.9423857794314932,1.1139395752839745
15.0,0.7424571504761799,0.8546576548394619,0.9406149964407515,1.0880609791408427
16.0,0.7426359745556883,0.8682705753762356,0.9455852138858412,1.0967092294207952
17.0,0.7448439965517689,0.8822577257354463,0.9395398832820552,1.111991824805355
18.0,0.7409235693717268,0.8601715861049695,0.944851837143552,1.092396475200092
19.0,0.7444519371791067,0.8721273772299192,0.9459839708452228,1.1108956435216575
