Iteration,Train_MAE_0,Test_MAE_0,Train_RMSE_0,Test_RMSE_0,Train_MAE_1,Test_MAE_1,Train_RMSE_1,Test_RMSE_1,Train_MAE_2,Test_MAE_2,Train_RMSE_2,Test_RMSE_2,Train_MAE_3,Test_MAE_3,Train_RMSE_3,Test_RMSE_3,Tot_Train_MAE,Tot_Test_MAE,Tot_Train_RMSE,Tot_Test_RMSE
0.0,1.076396365652268,0.9462295715513113,1.357649728479662,1.1825043827981385,0.9569868748405597,0.8994214987746855,1.1898340761338255,1.1354255873478039,0.897552963610045,0.9267165349523683,1.1294847052815846,1.1834008070036834,0.9168327502769505,1.022335637221453,1.1571425428867064,1.301778708196828,0.9479307446849986,0.9537695141866952,1.1940994430998508,1.2111213284893776
1.0,0.6816766847591382,0.7318753770292337,0.8442483646427993,0.9351394445945643,0.6824393574321286,0.786800287474255,0.8599177942135775,0.9935017178149609,0.668104241817143,0.7340235712425607,0.8449193224063645,0.9382273968411661,0.6482649927523931,0.8468623085524337,0.8152066593292627,1.0872021931968212,0.6674703178479561,0.7795622482180492,0.8390273273947344,0.9973587029241565
2.0,0.6542585954669738,0.6790194759172073,0.8236421546524879,0.8618770461407119,0.6792403942259533,0.8178054300609688,0.8597510827879266,1.0120930770866636,0.6581615113229244,0.720078669026639,0.8331594627232017,0.912408408370345,0.6430642789429348,0.8124350383281969,0.8110390581851458,1.0186058921549157,0.657313459839841,0.7619702952935922,0.8305136839698546,0.9593856969124376
3.0,0.6446016648153893,0.7273717583050969,0.8059704870743831,0.9219985152523631,0.7094967026441419,0.814121233502593,0.8867820657690789,1.024192001408128,0.6532680524296075,0.7288914537813511,0.8286045331533031,0.9349052266564851,0.6711352117066269,0.809051194001681,0.8340043136207661,1.0309609810509999,0.6691882039128734,0.7714042609698236,0.8390526926396878,0.9823782844649744
4.0,0.6655910959588516,0.7398493365420075,0.8447493538444432,0.956880413894327,0.709843125513966,0.7862821251164203,0.8981811692969532,1.0007947037575478,0.6746877662134283,0.752659589908751,0.8495836875228349,0.9478725121069207,0.6723672692393646,0.7754834046224068,0.8470252019339143,0.9825258142478519,0.6798400852003703,0.7645546927940295,0.8585343441667009,0.9716111392244645
5.0,0.6492525575581441,0.7296107528326378,0.8191756012626864,0.9185617003931666,0.7297320703943914,0.7934074159523403,0.9182985520830634,1.006711914996524,0.678477213328079,0.7315434820592785,0.8529937904337309,0.9441972451815183,0.6711098024532541,0.7815343661063804,0.8537774282890855,0.9864137976857963,0.6819260676906957,0.7597353091540155,0.8617288474996407,0.9664533676040393
6.0,0.648325568409751,0.7600377966018315,0.8190191181528054,0.9437108743521206,0.7024472156946706,0.8338247296647406,0.8895229620613476,1.027550968721865,0.6789817451112545,0.7275422610258413,0.8577698503553131,0.9347569103102217,0.6876650585938482,0.7745004148427918,0.8727651398939341,0.9788907357994139,0.6811948501729961,0.7703783824097921,0.8625557413089218,0.9703003216176657
7.0,0.6645779625287211,0.8020033186386282,0.8343098047378137,1.0059058918372397,0.7562692201121753,0.8093074048520174,0.9423761438422303,1.0160796947778794,0.705303299812206,0.7219119303023569,0.8755072931465383,0.9333850415687391,0.7026816613520318,0.7682392936358183,0.8881037559225707,0.9783124231320338,0.7081045672974309,0.7689969074433587,0.8869566352349492,0.9782287723074936
8.0,0.6599449365700999,0.7522955921007393,0.8284064664380616,0.9435247476857888,0.7474469843995026,0.7965942889554019,0.9317295219011801,1.015444148391427,0.681990015127509,0.781655505001641,0.8553584557855524,0.9937921936887915,0.6959914195257648,0.7956998904480952,0.8763961618971947,0.9881779406953299,0.6963072936153465,0.7839321159256527,0.8739676791588745,0.9880013784599924
9.0,0.6656267679900452,0.7278708588656901,0.8369977377888714,0.9261192696971414,0.7242481949197135,0.8713230054918673,0.9145680370206538,1.0802856512223162,0.6918194113657188,0.7679962742437895,0.875720327040536,1.0002595839016408,0.6748747068448434,0.7579228576733948,0.8529511156243268,0.9623386091444193,0.6888560329852667,0.7797589821975685,0.8705160325164816,0.9938242474610884
10.0,0.6701922559664707,0.7477426075604892,0.8362597842304492,0.9417788230102689,0.7330382371903373,0.8476140938577426,0.9305914720122452,1.069521991626544,0.6973793010131568,0.7643365604937545,0.8809100656628794,0.9772809055683471,0.6899096650727236,0.7369967066493,0.8641557661098159,0.9325672365937667,0.6978393134197378,0.7707080452146838,0.8789418257194408,0.9782128380845951
11.0,0.6894391856601324,0.7725164827982095,0.8578472566044198,0.9775218884900476,0.7456104298096115,0.810857315580284,0.9386547195606288,1.0163076963682542,0.7122080894030053,0.7819252096172754,0.896130126420048,0.9862308876769708,0.6996525223727398,0.7547944746928958,0.8819101926478242,0.9575765446662977,0.7114099387044508,0.7780706924018433,0.8943967332434187,0.9825014593865548
12.0,0.692089296204032,0.7730518764589656,0.8673488177802416,0.9809256729117841,0.7513655672216861,0.7865242692634161,0.9446841611279315,0.9760853667254448,0.6873768256856968,0.7628770407557406,0.8698215156181143,0.9717635100077753,0.7207410071038313,0.7465632146128209,0.9082258001287487,0.9429464002252423,0.712091464738089,0.7647048676160791,0.8976251114835246,0.9655755575578298
13.0,0.6872200405167608,0.747637776194003,0.8656422403127377,0.9575763491965485,0.7301425179748459,0.8223295237364733,0.928250661571975,1.03346745243339,0.7080956847840227,0.7903080394483872,0.8978771901545349,0.9944239990979079,0.6898172395565828,0.7484531987731078,0.873042111215825,0.9540664878279737,0.7034578425494856,0.7766706926410902,0.8912699466610376,0.9842612841184278
14.0,0.6674081720806342,0.7990368142991517,0.8483157938279985,1.0107324015239834,0.7374635551489946,0.8353107362580983,0.9327314595864702,1.0506995182278296,0.7085064988041351,0.7457291334353614,0.89407930783987,0.9514681610242893,0.7075205135742121,0.7239757652567688,0.8944246893747102,0.9289205928471267,0.7070594699678701,0.767588992374432,0.8946616327964233,0.9773566125183308
15.0,0.7008843505254809,0.779534467247963,0.8834933568733568,0.991537727313163,0.7467561825542006,0.8361989480645249,0.9353198255589631,1.061652008748862,0.7204120938712301,0.7837440126390043,0.9151765455486868,0.9817670757969165,0.7060886476759992,0.7465456499541614,0.8920611331339721,0.9380914780404238,0.7181443978278079,0.7827262054299946,0.9069221557581878,0.9880616000804846
16.0,0.6983625502554043,0.7891169587052247,0.8803753775102063,0.9823073633149714,0.722310284473359,0.8480590198872301,0.9149358253618664,1.0654992189997872,0.7094516460679847,0.7329177680365017,0.8981955716206886,0.9602416296685455,0.7036265424058,0.7592782212749213,0.8868147793398168,0.9504838702121067,0.7084263260907497,0.7755225639102846,0.8951735277240115,0.9845511587889162
17.0,0.7119486097701361,0.7909895518404519,0.8929764374821552,1.0067764251073248,0.7432454804973421,0.8007053162311155,0.9289708801244952,1.0096345132879891,0.7300685005249133,0.7387633919520398,0.9177170239581193,0.9495825387477272,0.6954869243668242,0.7784842887758,0.8776660918980256,0.9687693266344624,0.7190210459089611,0.7734448153424934,0.9036363243088049,0.9787547241710864
18.0,0.7044718148530438,0.7642968465928539,0.8923580350795352,0.9764585292795271,0.7553785588461506,0.7987563287561426,0.9469607266787401,0.9859820582586163,0.7151677597731125,0.7597979107078243,0.9086249519803957,0.9865955095308052,0.6970459148657195,0.7351165242919835,0.8769880262826987,0.9336828605527269,0.7162544650638429,0.7613034325175987,0.9045255197234882,0.9686799102385815
